fecha,temp_max,temp_min,lluvia_mm,rango_termico
2026-03-31,28.5,21.1,1.8,7.399999999999999
2026-04-01,29.6,22.2,0.5,7.400000000000002
2026-04-02,29.0,21.5,1.5,7.5
2026-04-03,31.0,21.6,1.4,9.399999999999999
2026-04-04,30.0,22.8,1.2,7.199999999999999
2026-04-05,28.8,22.0,3.4,6.800000000000001
2026-04-06,29.0,21.3,0.7,7.699999999999999
2026-04-07,29.3,22.4,3.3,6.900000000000002
2026-04-08,28.6,22.1,5.2,6.5
2026-04-09,27.9,21.3,6.6,6.599999999999998
2026-04-10,30.4,21.7,3.8,8.7
2026-04-11,29.4,22.3,0.0,7.099999999999998
2026-04-12,31.0,21.5,1.1,9.5
2026-04-13,30.9,22.8,2.3,8.099999999999998
2026-04-14,30.2,22.7,2.4,7.5
2026-04-15,27.2,22.7,2.8,4.5
2026-04-16,29.2,22.0,5.3,7.199999999999999
2026-04-17,25.1,22.2,22.3,2.900000000000002
2026-04-18,27.8,21.5,0.8,6.300000000000001
2026-04-19,29.9,21.4,1.2,8.5
2026-04-20,28.9,21.4,0.9,7.5
2026-04-21,29.6,22.4,0.3,7.200000000000003
2026-04-22,30.5,22.0,0.4,8.5
2026-04-23,28.2,22.1,0.6,6.099999999999998
2026-04-24,29.0,22.5,0.1,6.5
2026-04-25,27.9,21.3,2.6,6.599999999999998
2026-04-26,28.5,21.5,4.8,7.0
2026-04-27,28.5,21.9,4.5,6.600000000000001
2026-04-28,29.5,21.9,1.6,7.600000000000001
2026-04-29,28.0,22.4,2.7,5.600000000000001
2026-04-30,28.9,20.0,0.1,8.899999999999999
2026-05-01,27.5,21.8,4.9,5.699999999999999
2026-05-02,28.4,21.3,7.1,7.099999999999998
2026-05-03,27.2,21.5,14.4,5.699999999999999
2026-05-04,27.3,21.8,26.8,5.5
2026-05-05,28.3,21.4,1.8,6.900000000000002
2026-05-06,27.4,21.9,3.8,5.5
